"genus","species","scientificName"
"Knautia","arvensis","Knautia arvensis"
"Anemonastrum","canadense","Anemonastrum canadense"
"Viburnum","opulus","Viburnum opulus"
"Setaria","pumila","Setaria pumila"
"Rubus","odoratus","Rubus odoratus"
"Viburnum","prunifolium","Viburnum prunifolium"
"Arabidopsis","lyrata","Arabidopsis lyrata"
"Dicentra","cucullaria","Dicentra cucullaria"
"Gymnocladus","dioicus","Gymnocladus dioicus"
"Lobularia","maritima","Lobularia maritima"
"Rumex","crispus","Rumex crispus"
"Silene","caroliniana","Silene caroliniana"
"Viburnum","sieboldii","Viburnum sieboldii"
"Echinochloa","crus-galli","Echinochloa crus-galli"
"Buddleja","davidii","Buddleja davidii"
"Silene","dioica","Silene dioica"
"Kolkwitzia","amabilis","Kolkwitzia amabilis"
"Sambucus","racemosa","Sambucus racemosa"
"Eranthis","hyemalis","Eranthis hyemalis"
"Echinocystis","lobata","Echinocystis lobata"
"Hedeoma","pulegioides","Hedeoma pulegioides"
"Fallopia","scandens","Fallopia scandens"
"Fatoua","villosa","Fatoua villosa"
"Humulus","scandens","Humulus scandens"
"Polygonatum","pubescens","Polygonatum pubescens"
"Echinacea","purpurea","Echinacea purpurea"
"Cardamine","concatenata","Cardamine concatenata"
"Iris","hybrida","Iris hybrida"
"Claytonia","virginica","Claytonia virginica"
"Aucuba","japonica","Aucuba japonica"
"Jasminum","nudiflorum","Jasminum nudiflorum"
"Amauropelta","noveboracensis","Amauropelta noveboracensis"
"Arabidopsis","thaliana","Arabidopsis thaliana"
"Amelanchier","arborea","Amelanchier arborea"
"Cardamine","diphylla","Cardamine diphylla"
"Viola","eriocarpa","Viola eriocarpa"
"Plantago","rugelii","Plantago rugelii"
"Oxalis","stricta","Oxalis stricta"
"Osmorhiza","claytonii","Osmorhiza claytonii"
"Fraxinus","americana","Fraxinus americana"
"Carex","stipata","Carex stipata"
"Malva","neglecta","Malva neglecta"
"Sanguinaria","canadensis","Sanguinaria canadensis"
"Circaea","canadensis","Circaea canadensis"
"Triosteum","aurantiacum","Triosteum aurantiacum"
"Cirsium","arvense","Cirsium arvense"
"Cardamine","douglassii","Cardamine douglassii"
"Malus","hupehensis","Malus hupehensis"
"Solidago","canadensis","Solidago canadensis"
"Veronica","hederifolia","Veronica hederifolia"
"Viburnum","acerifolium","Viburnum acerifolium"
"Centaurea","cyanus","Centaurea cyanus"
"Dysphania","ambrosioides","Dysphania ambrosioides"
"Epilobium","hirsutum","Epilobium hirsutum"
"Mazus","pumilus","Mazus pumilus"
"Solidago","speciosa","Solidago speciosa"
"Menispermum","canadense","Menispermum canadense"
"Luzula","multiflora","Luzula multiflora"
"Solidago","juncea","Solidago juncea"
"Ipomoea","purpurea","Ipomoea purpurea"
"Lamium","hybridum","Lamium hybridum"
"Ornithogalum","nutans","Ornithogalum nutans"
"Deparia","acrostichoides","Deparia acrostichoides"
"Bidens","vulgata","Bidens vulgata"
"Desmodium","perplexum","Desmodium perplexum"
"Silene","vulgaris","Silene vulgaris"
"Barbarea","vulgaris","Barbarea vulgaris"
"Carya","ovata","Carya ovata"
"Yucca","filamentosa","Yucca filamentosa"
"Eryngium","yuccifolium","Eryngium yuccifolium"
"Silene","stellata","Silene stellata"
"Cornus","sericea","Cornus sericea"
"Euonymus","japonicus","Euonymus japonicus"
"Solidago","bicolor","Solidago bicolor"
"Cornus","amomum","Cornus amomum"
"Eclipta","prostrata","Eclipta prostrata"
"Fraxinus","pennsylvanica","Fraxinus pennsylvanica"
"Equisetum","hyemale","Equisetum hyemale"
"Carex","pensylvanica","Carex pensylvanica"
"Viola","canadensis","Viola canadensis"
"Typha","latifolia","Typha latifolia"
"Trifolium","hybridum","Trifolium hybridum"
"Carpinus","caroliniana","Carpinus caroliniana"
"Spiraea","alba","Spiraea alba"
"Magnolia","tripetala","Magnolia tripetala"
"Cryptotaenia","canadensis","Cryptotaenia canadensis"
"Galanthus","elwesii","Galanthus elwesii"
"Quercus","palustris","Quercus palustris"
"Gamochaeta","pensylvanica","Gamochaeta pensylvanica"
"Asplenium","platyneuron","Asplenium platyneuron"
"Vitis","riparia","Vitis riparia"
"Desmodium","canescens","Desmodium canescens"
"Thalictrum","pubescens","Thalictrum pubescens"
"Sambucus","canadensis","Sambucus canadensis"
"Nuphar","advena","Nuphar advena"
"Hylodesmum","glutinosum","Hylodesmum glutinosum"
"Sagina","procumbens","Sagina procumbens"
"Cornus","mas","Cornus mas"
"Mollugo","verticillata","Mollugo verticillata"
"Lespedeza","violacea","Lespedeza violacea"
"Micranthes","pensylvanica","Micranthes pensylvanica"
"Thalictrum","dioicum","Thalictrum dioicum"
"Acer","saccharum","Acer saccharum"
"Veronica","peregrina","Veronica peregrina"
"Althaea","officinalis","Althaea officinalis"
"Campanula","rapunculoides","Campanula rapunculoides"
"Persicaria","hydropiper","Persicaria hydropiper"
"Wolffia","brasiliensis","Wolffia brasiliensis"
"Rhus","glabra","Rhus glabra"
"Corydalis","solida","Corydalis solida"
"Uvularia","sessilifolia","Uvularia sessilifolia"
"Saururus","cernuus","Saururus cernuus"
"Veronica","sublobata","Veronica sublobata"
"Caltha","palustris","Caltha palustris"
"Ceratophyllum","echinatum","Ceratophyllum echinatum"
"Hypoxis","hirsuta","Hypoxis hirsuta"
"Vincetoxicum","nigrum","Vincetoxicum nigrum"
"Impatiens","pallida","Impatiens pallida"
"Bromus","tectorum","Bromus tectorum"
"Aronia","melanocarpa","Aronia melanocarpa"
"Picea","pungens","Picea pungens"
"Ranunculus","sceleratus","Ranunculus sceleratus"
"Solidago","gigantea","Solidago gigantea"
"Desmodium","canadense","Desmodium canadense"
"Sagittaria","latifolia","Sagittaria latifolia"
"Carex","rosea","Carex rosea"
"Helianthus","divaricatus","Helianthus divaricatus"
"Stylophorum","diphyllum","Stylophorum diphyllum"
"Symphyotrichum","lanceolatum","Symphyotrichum lanceolatum"
"Leersia","oryzoides","Leersia oryzoides"
"Monarda","punctata","Monarda punctata"
"Koelreuteria","paniculata","Koelreuteria paniculata"
"Fraxinus","profunda","Fraxinus profunda"
"Physematium","obtusum","Physematium obtusum"
"Dryopteris","marginalis","Dryopteris marginalis"
"Ulmus","rubra","Ulmus rubra"
"Verbascum","blattaria","Verbascum blattaria"
"Dysphania","pumilio","Dysphania pumilio"
"Thalictrum","thalictroides","Thalictrum thalictroides"
"Angelica","atropurpurea","Angelica atropurpurea"
"Allium","canadense","Allium canadense"
"Silphium","perfoliatum","Silphium perfoliatum"
"Actaea","pachypoda","Actaea pachypoda"
"Bidens","bipinnata","Bidens bipinnata"
"Lonicera","tatarica","Lonicera tatarica"
"Ginkgo","biloba","Ginkgo biloba"
"Tragopogon","dubius","Tragopogon dubius"
"Rhamnus","cathartica","Rhamnus cathartica"
"Carex","grayi","Carex grayi"
"Scilla","sardensis","Scilla sardensis"
"Ranunculus","hispidus","Ranunculus hispidus"
"Geum","vernum","Geum vernum"
"Carya","glabra","Carya glabra"
"Pastinaca","sativa","Pastinaca sativa"
"Symphyotrichum","cordifolium","Symphyotrichum cordifolium"
"Rumex","cristatus","Rumex cristatus"
"Typha","angustifolia","Typha angustifolia"
"Collinsonia","canadensis","Collinsonia canadensis"
"Helenium","autumnale","Helenium autumnale"
"Acer","campestre","Acer campestre"
"Salix","pendulina","Salix pendulina"
"Galium","mollugo","Galium mollugo"
"Broussonetia","papyrifera","Broussonetia papyrifera"
"Carex","crinita","Carex crinita"
"Rubus","laciniatus","Rubus laciniatus"
"Eutrochium","maculatum","Eutrochium maculatum"
"Rudbeckia","triloba","Rudbeckia triloba"
"Toona","sinensis","Toona sinensis"
"Setaria","faberi","Setaria faberi"
"Elymus","hystrix","Elymus hystrix"
"Centaurea","nigrescens","Centaurea nigrescens"
"Galinsoga","parviflora","Galinsoga parviflora"
"Geranium","robertianum","Geranium robertianum"
"Galium","circaezans","Galium circaezans"
"Lemna","minor","Lemna minor"
"Pycnanthemum","tenuifolium","Pycnanthemum tenuifolium"
"Clematis","virginiana","Clematis virginiana"
"Boehmeria","cylindrica","Boehmeria cylindrica"
"Hordeum","murinum","Hordeum murinum"
"Sanicula","canadensis","Sanicula canadensis"
"Cydonia","oblonga","Cydonia oblonga"
"Phryma","leptostachya","Phryma leptostachya"
"Rumex","patientia","Rumex patientia"
"Hypericum","punctatum","Hypericum punctatum"
"Sedum","album","Sedum album"
"Lespedeza","procumbens","Lespedeza procumbens"
"Physalis","heterophylla","Physalis heterophylla"
"Diervilla","lonicera","Diervilla lonicera"
"Impatiens","balfourii","Impatiens balfourii"
"Morus","indica","Morus indica"
"Petasites","japonicus","Petasites japonicus"
"Ranunculus","abortivus","Ranunculus abortivus"
"Hieracium","venosum","Hieracium venosum"
"Viburnum","recognitum","Viburnum recognitum"
"Aesculus","flava","Aesculus flava"
"Populus","deltoides","Populus deltoides"
"Spirodela","polyrhiza","Spirodela polyrhiza"
"Veratrum","viride","Veratrum viride"
"Tripsacum","dactyloides","Tripsacum dactyloides"
"Phleum","pratense","Phleum pratense"
"Rudbeckia","subtomentosa","Rudbeckia subtomentosa"
"Euphorbia","corollata","Euphorbia corollata"
"Kalopanax","septemlobus","Kalopanax septemlobus"
"Dioscorea","polystachya","Dioscorea polystachya"
"Symphyotrichum","patens","Symphyotrichum patens"
"Symphoricarpos","albus","Symphoricarpos albus"
"Tiarella","stolonifera","Tiarella stolonifera"
"Eutrochium","fistulosum","Eutrochium fistulosum"
"Rorippa","sylvestris","Rorippa sylvestris"
"Lonicera","sempervirens","Lonicera sempervirens"
"Scilla","forbesii","Scilla forbesii"
"Caulophyllum","thalictroides","Caulophyllum thalictroides"
"Eupatorium","serotinum","Eupatorium serotinum"
"Phedimus","spurius","Phedimus spurius"
"Viola","arvensis","Viola arvensis"
"Lactuca","biennis","Lactuca biennis"
"Rorippa","palustris","Rorippa palustris"
"Diplotaxis","tenuifolia","Diplotaxis tenuifolia"
"Sanicula","odorata","Sanicula odorata"
"Equisetum","praealtum","Equisetum praealtum"
"Itea","virginica","Itea virginica"
"Symphyotrichum","novae-angliae","Symphyotrichum novae-angliae"
"Euphorbia","marginata","Euphorbia marginata"
"Salix","discolor","Salix discolor"
"Lamium","maculatum","Lamium maculatum"
"Senna","hebecarpa","Senna hebecarpa"
"Hylodesmum","nudiflorum","Hylodesmum nudiflorum"
"Quercus","cerris","Quercus cerris"
"Sisymbrium","officinale","Sisymbrium officinale"
"Phellodendron","amurense","Phellodendron amurense"
"Solanum","emulans","Solanum emulans"
"Spergularia","marina","Spergularia marina"
"Hylotelephium","telephium","Hylotelephium telephium"
"Eurybia","macrophylla","Eurybia macrophylla"
"Dysphania","atriplicifolia","Dysphania atriplicifolia"
"Corydalis","incisa","Corydalis incisa"
"Viburnum","rhytidophyllum","Viburnum rhytidophyllum"
"Hyacinthoides","hispanica","Hyacinthoides hispanica"
"Impatiens","balsamina","Impatiens balsamina"
"Malus","toringo","Malus toringo"
"Agastache","nepetoides","Agastache nepetoides"
"Symphyotrichum","prenanthoides","Symphyotrichum prenanthoides"
"Phlox","divaricata","Phlox divaricata"
"Cladrastis","kentukea","Cladrastis kentukea"
"Achillea","filipendulina","Achillea filipendulina"
"Prunus","laurocerasus","Prunus laurocerasus"
"Centaurea","montana","Centaurea montana"
"Arctium","lappa","Arctium lappa"
"Zea","mays","Zea mays"
"Trillium","cuneatum","Trillium cuneatum"
"Hyacinthus","orientalis","Hyacinthus orientalis"
"Pycnanthemum","virginianum","Pycnanthemum virginianum"
"Taxus","baccata","Taxus baccata"
"Panax","trifolius","Panax trifolius"
"Chrysogonum","virginianum","Chrysogonum virginianum"
"Claytosmunda","claytoniana","Claytosmunda claytoniana"
"Cardamine","pratensis","Cardamine pratensis"
"Veronicastrum","virginicum","Veronicastrum virginicum"
"Rudbeckia","fulgida","Rudbeckia fulgida"
"Scutellaria","incana","Scutellaria incana"
"Diospyros","virginiana","Diospyros virginiana"
"Pinus","resinosa","Pinus resinosa"
"Carduus","nutans","Carduus nutans"
"Lotus","tenuis","Lotus tenuis"
"Polemonium","reptans","Polemonium reptans"
"Muscari","botryoides","Muscari botryoides"
"Quercus","bicolor","Quercus bicolor"
"Lobelia","inflata","Lobelia inflata"
"Geum","laciniatum","Geum laciniatum"
"Ipheion","uniflorum","Ipheion uniflorum"
"Crocus","tommasinianus","Crocus tommasinianus"
"Mirabilis","jalapa","Mirabilis jalapa"
"Chamaecrista","nictitans","Chamaecrista nictitans"
"Arenaria","serpyllifolia","Arenaria serpyllifolia"
"Oxalis","corniculata","Oxalis corniculata"
"Solidago","flexicaulis","Solidago flexicaulis"
"Adiantum","pedatum","Adiantum pedatum"
"Hydrophyllum","virginianum","Hydrophyllum virginianum"
"Dryopteris","erythrosora","Dryopteris erythrosora"
"Prunus","padus","Prunus padus"
"Aphyllon","uniflorum","Aphyllon uniflorum"
"Conopholis","americana","Conopholis americana"
"Viburnum","lentago","Viburnum lentago"
"Panicum","dichotomiflorum","Panicum dichotomiflorum"
"Ranunculus","repens","Ranunculus repens"
"Reynoutria","bohemica","Reynoutria bohemica"
"Trifolium","aureum","Trifolium aureum"
"Picea","glauca","Picea glauca"
"Citrus","trifoliata","Citrus trifoliata"
"Antennaria","neglecta","Antennaria neglecta"
"Cystopteris","tenuis","Cystopteris tenuis"
"Trillium","erectum","Trillium erectum"
"Lepidium","densiflorum","Lepidium densiflorum"
"Asarum","canadense","Asarum canadense"
"Nabalus","trifoliolatus","Nabalus trifoliolatus"
"Chasmanthium","latifolium","Chasmanthium latifolium"
"Erigeron","pulchellus","Erigeron pulchellus"
"Capnoides","sempervirens","Capnoides sempervirens"
"Tarenaya","houtteana","Tarenaya houtteana"
"Cerastium","glomeratum","Cerastium glomeratum"
"Solidago","rigida","Solidago rigida"
"Pachysandra","procumbens","Pachysandra procumbens"
"Iris","sanguinea","Iris sanguinea"
"Ligustrum","vulgare","Ligustrum vulgare"
"Packera","aurea","Packera aurea"
"Anisocampium","niponicum","Anisocampium niponicum"
"Pedicularis","canadensis","Pedicularis canadensis"
"Carex","sparganioides","Carex sparganioides"
"Petasites","hybridus","Petasites hybridus"
"Trillium","grandiflorum","Trillium grandiflorum"
"Mahonia","bealei","Mahonia bealei"
"Leucojum","aestivum","Leucojum aestivum"
"Osmorhiza","longistylis","Osmorhiza longistylis"
"Alkekengi","officinarum","Alkekengi officinarum"
"Muscari","neglectum","Muscari neglectum"
"Micranthes","virginiensis","Micranthes virginiensis"
"Crataegus","monogyna","Crataegus monogyna"
"Sorghum","bicolor","Sorghum bicolor"
"Morus","rubra","Morus rubra"
"Athyrium","angustum","Athyrium angustum"
"Quercus","macrocarpa","Quercus macrocarpa"
"Hepatica","acutiloba","Hepatica acutiloba"
"Carex","blanda","Carex blanda"
"Anemone","virginiana","Anemone virginiana"
"Smilax","herbacea","Smilax herbacea"
"Laportea","canadensis","Laportea canadensis"
"Atocion","armeria","Atocion armeria"
"Ulmus","glabra","Ulmus glabra"
"Cerastium","fontanum","Cerastium fontanum"
"Magnolia","acuminata","Magnolia acuminata"
"Strophostyles","helvola","Strophostyles helvola"
"Medicago","sativa","Medicago sativa"
"Ulmus","pumila","Ulmus pumila"
"Cyperus","iria","Cyperus iria"
"Ulmus","americana","Ulmus americana"
"Sedum","ternatum","Sedum ternatum"
"Lablab","purpureus","Lablab purpureus"
"Symphyotrichum","laeve","Symphyotrichum laeve"
"Wisteria","sinensis","Wisteria sinensis"
"Hydrangea","quercifolia","Hydrangea quercifolia"
"Polypodium","virginianum","Polypodium virginianum"
"Hypericum","prolificum","Hypericum prolificum"
"Hordeum","jubatum","Hordeum jubatum"
"Juncus","tenuis","Juncus tenuis"
"Aruncus","dioicus","Aruncus dioicus"
"Allium","cernuum","Allium cernuum"
"Taenidia","integerrima","Taenidia integerrima"
"Lonicera","morrowii","Lonicera morrowii"
"Rhus","aromatica","Rhus aromatica"
"Nepeta","cataria","Nepeta cataria"
"Carex","swanii","Carex swanii"
"Chrysosplenium","americanum","Chrysosplenium americanum"
"Distichlis","spicata","Distichlis spicata"
"Spergularia","rubra","Spergularia rubra"
"Carex","cephalophora","Carex cephalophora"
"Mirabilis","nyctaginea","Mirabilis nyctaginea"
"Philadelphus","coronarius","Philadelphus coronarius"
"Parthenocissus","inserta","Parthenocissus inserta"
"Vallisneria","americana","Vallisneria americana"
"Glyceria","striata","Glyceria striata"
"Xanthorhiza","simplicissima","Xanthorhiza simplicissima"
"Cardamine","pensylvanica","Cardamine pensylvanica"
"Tilia","cordata","Tilia cordata"
"Rosa","setigera","Rosa setigera"
"Acer","pensylvanicum","Acer pensylvanicum"
"Zelkova","serrata","Zelkova serrata"
"Hydrocotyle","sibthorpioides","Hydrocotyle sibthorpioides"
"Viola","cucullata","Viola cucullata"
"Xanthium","orientale","Xanthium orientale"
"Lilium","lancifolium","Lilium lancifolium"
"Salix","nigra","Salix nigra"
"Pourthiaea","villosa","Pourthiaea villosa"
"Lolium","perenne","Lolium perenne"
"Bromus","inermis","Bromus inermis"
"Andropogon","gerardi","Andropogon gerardi"
"Helenium","flexuosum","Helenium flexuosum"
"Betula","alleghaniensis","Betula alleghaniensis"
"Primula","vulgaris","Primula vulgaris"
"Liatris","spicata","Liatris spicata"
"Symphyotrichum","lateriflorum","Symphyotrichum lateriflorum"
"Narcissus","poeticus","Narcissus poeticus"
"Stachys","byzantina","Stachys byzantina"
"Apocynum","androsaemifolium","Apocynum androsaemifolium"
"Styrax","japonicus","Styrax japonicus"
"Oenothera","speciosa","Oenothera speciosa"
"Quercus","marilandica","Quercus marilandica"
"Persicaria","extremiorientalis","Persicaria extremiorientalis"
"Cornus","alternifolia","Cornus alternifolia"
"Amaranthus","blitum","Amaranthus blitum"
"Hyacinthoides","massartiana","Hyacinthoides massartiana"
"Ptelea","trifoliata","Ptelea trifoliata"
"Picea","rubens","Picea rubens"
"Symphyotrichum","subulatum","Symphyotrichum subulatum"
"Euphorbia","polygonifolia","Euphorbia polygonifolia"
"Artemisia","campestris","Artemisia campestris"
"Symphyotrichum","pilosum","Symphyotrichum pilosum"
"Taraxacum","erythrospermum","Taraxacum erythrospermum"
"Lycium","barbarum","Lycium barbarum"
"Pilosella","officinarum","Pilosella officinarum"
"Artemisia","ludoviciana","Artemisia ludoviciana"
"Sonchus","asper","Sonchus asper"
"Dicentra","eximia","Dicentra eximia"
"Abies","balsamea","Abies balsamea"
"Viola","odorata","Viola odorata"
"Wisteria","floribunda","Wisteria floribunda"
"Prunus","avium","Prunus avium"
"Vitis","labrusca","Vitis labrusca"
"Robinia","hispida","Robinia hispida"
"Paspalum","setaceum","Paspalum setaceum"
"Maianthemum","stellatum","Maianthemum stellatum"
"Pyrus","communis","Pyrus communis"
"Acalypha","australis","Acalypha australis"
"Sorbaria","sorbifolia","Sorbaria sorbifolia"
"Triticum","aestivum","Triticum aestivum"
"Muhlenbergia","schreberi","Muhlenbergia schreberi"
"Asarum","europaeum","Asarum europaeum"
"Anaphalis","margaritacea","Anaphalis margaritacea"
"Eragrostis","cilianensis","Eragrostis cilianensis"
"Rubus","pensilvanicus","Rubus pensilvanicus"
"Euphorbia","virgata","Euphorbia virgata"
"Caulophyllum","giganteum","Caulophyllum giganteum"
"Trillium","luteum","Trillium luteum"
"Tropaeolum","majus","Tropaeolum majus"
"Heuchera","villosa","Heuchera villosa"
"Ratibida","pinnata","Ratibida pinnata"
"Papaver","orientale","Papaver orientale"
"Stellaria","apetala","Stellaria apetala"
"Filipendula","rubra","Filipendula rubra"
"Athyrium","asplenioides","Athyrium asplenioides"
"Gentiana","clausa","Gentiana clausa"
"Lonicera","gracilipes","Lonicera gracilipes"
"Myosotis","arvensis","Myosotis arvensis"
"Geranium","thunbergii","Geranium thunbergii"
"Puschkinia","scilloides","Puschkinia scilloides"
"Corydalis","cheilanthifolia","Corydalis cheilanthifolia"
"Carex","amphibola","Carex amphibola"
"Penstemon","hirsutus","Penstemon hirsutus"
"Sparganium","eurycarpum","Sparganium eurycarpum"
"Parietaria","pensylvanica","Parietaria pensylvanica"
"Hieracium","paniculatum","Hieracium paniculatum"
"Amaranthus","cruentus","Amaranthus cruentus"
"Pellaea","atropurpurea","Pellaea atropurpurea"
"Jeffersonia","diphylla","Jeffersonia diphylla"
"Crataegus","mollis","Crataegus mollis"
"Cypripedium","parviflorum","Cypripedium parviflorum"
"Cephalotaxus","harringtonia","Cephalotaxus harringtonia"
"Ligustrum","sinense","Ligustrum sinense"
"Chaenorhinum","minus","Chaenorhinum minus"
"Viola","pubescens","Viola pubescens"
"Cyperus","odoratus","Cyperus odoratus"
"Veronica","polita","Veronica polita"
"Crataegus","marshallii","Crataegus marshallii"
"Magnolia","soulangeana","Magnolia soulangeana"
"Carex","muskingumensis","Carex muskingumensis"
"Alnus","glutinosa","Alnus glutinosa"
"Paspalum","laeve","Paspalum laeve"
"Elsholtzia","ciliata","Elsholtzia ciliata"
"Corylus","americana","Corylus americana"
"Euphorbia","peplus","Euphorbia peplus"
"Turritis","glabra","Turritis glabra"
"Aesculus","pavia","Aesculus pavia"
"Penthorum","sedoides","Penthorum sedoides"
"Zanthoxylum","simulans","Zanthoxylum simulans"
"Fagopyrum","esculentum","Fagopyrum esculentum"
"Scirpus","microcarpus","Scirpus microcarpus"
"Aquilegia","vulgaris","Aquilegia vulgaris"
"Cornus","racemosa","Cornus racemosa"
"Echinochloa","walteri","Echinochloa walteri"
"Prunus","virginiana","Prunus virginiana"
"Carex","sprengelii","Carex sprengelii"
"Poa","compressa","Poa compressa"
"Solidago","arguta","Solidago arguta"
"Anemone","sylvestris","Anemone sylvestris"
"Euphorbia","amygdaloides","Euphorbia amygdaloides"
"Viola","williamsii","Viola williamsii"
"Dodecatheon","meadia","Dodecatheon meadia"
"Gillenia","trifoliata","Gillenia trifoliata"
"Alnus","incana","Alnus incana"
"Agastache","foeniculum","Agastache foeniculum"
"Nelumbo","nucifera","Nelumbo nucifera"
"Oxybasis","glauca","Oxybasis glauca"
"Muscari","armeniacum","Muscari armeniacum"
"Filipendula","ulmaria","Filipendula ulmaria"
"Lycopus","americanus","Lycopus americanus"
"Carex","granularis","Carex granularis"
"Liriope","muscari","Liriope muscari"
"Allium","schoenoprasum","Allium schoenoprasum"
"Betula","papyrifera","Betula papyrifera"
"Pinus","sylvestris","Pinus sylvestris"
"Colchicum","autumnale","Colchicum autumnale"
"Narcissus","pseudonarcissus","Narcissus pseudonarcissus"
"Ulmus","minor","Ulmus minor"
"Elymus","virginicus","Elymus virginicus"
"Sagina","japonica","Sagina japonica"
"Chenopodium","ficifolium","Chenopodium ficifolium"
"Cuscuta","pentagona","Cuscuta pentagona"
"Bassia","scoparia","Bassia scoparia"
"Foeniculum","vulgare","Foeniculum vulgare"
"Carex","vulpinoidea","Carex vulpinoidea"
"Geranium","dissectum","Geranium dissectum"
"Ludwigia","palustris","Ludwigia palustris"
"Cannabis","sativa","Cannabis sativa"
"Solanum","angustifolium","Solanum angustifolium"
"Physalis","grisea","Physalis grisea"
"Iris","cristata","Iris cristata"
"Callirhoe","involucrata","Callirhoe involucrata"
"Leucanthemum","maximum","Leucanthemum maximum"
"Elymus","repens","Elymus repens"
"Vicia","grandiflora","Vicia grandiflora"
"Poa","pratensis","Poa pratensis"
"Helianthus","tuberosus","Helianthus tuberosus"
"Elaeagnus","angustifolia","Elaeagnus angustifolia"
"Tragopogon","pratensis","Tragopogon pratensis"
"Avena","sativa","Avena sativa"
"Petunia","atkinsiana","Petunia atkinsiana"
"Geranium","pusillum","Geranium pusillum"
"Youngia","japonica","Youngia japonica"
"Atriplex","prostrata","Atriplex prostrata"
"Phlox","stolonifera","Phlox stolonifera"
"Polygonatum","multiflorum","Polygonatum multiflorum"
"Viburnum","lantana","Viburnum lantana"
"Rosa","luciae","Rosa luciae"
"Rhododendron","calendulaceum","Rhododendron calendulaceum"
"Neillia","incisa","Neillia incisa"
"Sisymbrium","loeselii","Sisymbrium loeselii"
"Uvularia","grandiflora","Uvularia grandiflora"
"Sceptridium","dissectum","Sceptridium dissectum"
"Coriandrum","sativum","Coriandrum sativum"
"Abelmoschus","manihot","Abelmoschus manihot"
"Macleaya","cordata","Macleaya cordata"
"Hepatica","americana","Hepatica americana"
"Talinum","paniculatum","Talinum paniculatum"
"Quercus","robur","Quercus robur"
"Fallopia","convolvulus","Fallopia convolvulus"
"Carex","plantaginea","Carex plantaginea"
"Scilla","mischtschenkoana","Scilla mischtschenkoana"
"Euphorbia","ophthalmica","Euphorbia ophthalmica"
"Mummenhoffia","alliacea","Mummenhoffia alliacea"
"Urtica","dioica","Urtica dioica"
"Conium","maculatum","Conium maculatum"
"Digitaria","ischaemum","Digitaria ischaemum"
"Solanum","sarrachoides","Solanum sarrachoides"
"Viburnum","lantanoides","Viburnum lantanoides"
"Ipomoea","alba","Ipomoea alba"
"Styphnolobium","japonicum","Styphnolobium japonicum"
"Mitella","diphylla","Mitella diphylla"
"Persicaria","lapathifolia","Persicaria lapathifolia"
"Malus","baccata","Malus baccata"
"Phegopteris","hexagonoptera","Phegopteris hexagonoptera"
"Campanula","intercedens","Campanula intercedens"
"Abelmoschus","esculentus","Abelmoschus esculentus"
"Elodea","canadensis","Elodea canadensis"
"Physalis","longifolia","Physalis longifolia"
"Acer","tataricum","Acer tataricum"
"Amaranthus","retroflexus","Amaranthus retroflexus"
"Carex","platyphylla","Carex platyphylla"
"Euphorbia","nutans","Euphorbia nutans"
"Digitaria","sanguinalis","Digitaria sanguinalis"
"Thermopsis","villosa","Thermopsis villosa"
"Oenothera","lindheimeri","Oenothera lindheimeri"
"Aristolochia","clematitis","Aristolochia clematitis"
"Allium","ursinum","Allium ursinum"
"Crataegus","crus-galli","Crataegus crus-galli"
"Iris","sibirica","Iris sibirica"
"Schoenoplectus","tabernaemontani","Schoenoplectus tabernaemontani"
"Dryopteris","carthusiana","Dryopteris carthusiana"
"Viburnum","carlesii","Viburnum carlesii"
"Epilobium","coloratum","Epilobium coloratum"
"Cyperus","microiria","Cyperus microiria"
"Helleborus","niger","Helleborus niger"
"Nigella","damascena","Nigella damascena"
"Brassica","rapa","Brassica rapa"
"Mycelis","muralis","Mycelis muralis"
"Cotoneaster","horizontalis","Cotoneaster horizontalis"
"Symphyotrichum","ericoides","Symphyotrichum ericoides"
"Lepidium","draba","Lepidium draba"
"Eupatorium","altissimum","Eupatorium altissimum"
"Rubus","caesius","Rubus caesius"
"Aesculus","glabra","Aesculus glabra"
"Centaurea","moncktonii","Centaurea moncktonii"
"Galium","album","Galium album"
"Ranunculus","acris","Ranunculus acris"
"Quercus","muehlenbergii","Quercus muehlenbergii"
"Persicaria","punctata","Persicaria punctata"
"Centaurium","erythraea","Centaurium erythraea"
"Cyperus","strigosus","Cyperus strigosus"
"Vernonia","gigantea","Vernonia gigantea"
"Oenothera","gaura","Oenothera gaura"
"Cuscuta","gronovii","Cuscuta gronovii"
"Bouteloua","curtipendula","Bouteloua curtipendula"
"Nymphoides","peltata","Nymphoides peltata"
"Symphyotrichum","puniceum","Symphyotrichum puniceum"
"Bellis","perennis","Bellis perennis"
"Lupinus","polyphyllus","Lupinus polyphyllus"
"Cinna","arundinacea","Cinna arundinacea"
"Hieracium","lachenalii","Hieracium lachenalii"
"Viburnum","wrightii","Viburnum wrightii"
"Fragaria","vesca","Fragaria vesca"
"Chimaphila","umbellata","Chimaphila umbellata"
"Oenothera","laciniata","Oenothera laciniata"
"Geum","aleppicum","Geum aleppicum"
"Galium","triflorum","Galium triflorum"
"Houstonia","caerulea","Houstonia caerulea"
"Diphasiastrum","digitatum","Diphasiastrum digitatum"
"Polygaloides","paucifolia","Polygaloides paucifolia"
"Gentiana","andrewsii","Gentiana andrewsii"
"Asclepias","verticillata","Asclepias verticillata"
"Silphium","terebinthinaceum","Silphium terebinthinaceum"
